global_step,epoch,loss,grad_norm,learning_rate
1,1,2.6595,2.23307,0.0002
2,1,2.1189,1.94106,0.0001995204
3,1,2.1272,1.83206,0.0001990408
4,1,1.4203,0.672,0.0001985612
5,1,1.4951,0.70294,0.0001980815
6,1,1.5336,0.69537,0.0001976019
7,1,1.3183,0.56874,0.0001971223
8,1,1.4288,0.69816,0.0001966427
9,1,1.5371,0.62288,0.0001961631
10,1,1.4094,1.0223,0.0001956835
11,1,1.1638,0.85963,0.0001952038
12,1,1.3105,0.77458,0.0001947242
13,1,1.1191,0.76917,0.0001942446
14,1,1.3409,0.772,0.000193765
15,1,1.8735,1.05146,0.0001932854
16,1,1.1051,0.72048,0.0001928058
17,1,1.2056,0.82308,0.0001923261
18,1,1.2834,0.66227,0.0001918465
19,1,1.4584,0.80042,0.0001913669
20,1,1.5122,0.91723,0.0001908873
21,1,1.0787,0.80445,0.0001904077
22,1,1.064,0.72849,0.0001899281
23,1,1.402,1.02365,0.0001894484
24,1,1.1849,0.80648,0.0001889688
25,1,1.2095,0.82747,0.0001884892
26,1,1.2957,0.79472,0.0001880096
27,1,0.9089,0.69501,0.00018753
28,1,1.0614,0.85564,0.0001870504
29,1,0.8911,0.79165,0.0001865707
30,1,1.088,0.72313,0.0001860911
31,1,1.4608,1.02241,0.0001856115
32,1,0.9451,0.72184,0.0001851319
33,1,1.2805,0.85749,0.0001846523
34,1,1.0138,0.66107,0.0001841727
35,1,1.4357,0.66998,0.000183693
36,1,1.3604,0.82206,0.0001832134
37,1,0.9309,1.05094,0.0001827338
38,1,0.8653,0.83484,0.0001822542
39,1,0.7337,0.99813,0.0001817746
40,1,1.2781,0.65126,0.000181295
41,1,0.6355,0.63499,0.0001808153
42,1,0.7435,0.72132,0.0001803357
43,1,1.1984,0.77415,0.0001798561
44,1,0.7723,0.73431,0.0001793765
45,1,1.5262,0.84171,0.0001788969
46,1,1.2253,0.97351,0.0001784173
47,1,1.2202,0.85123,0.0001779376
48,1,1.3524,0.73708,0.000177458
49,1,1.0489,0.91359,0.0001769784
50,1,0.7819,0.77957,0.0001764988
51,1,0.8617,0.85173,0.0001760192
52,1,1.0689,0.89569,0.0001755396
53,1,1.0685,0.7262,0.00017506
54,1,0.8971,0.61863,0.0001745803
55,1,1.3938,0.95397,0.0001741007
56,1,0.7419,0.78805,0.0001736211
57,1,1.1391,0.79344,0.0001731415
58,1,0.6947,0.6076,0.0001726619
59,1,0.6849,0.76044,0.0001721823
60,1,0.8249,0.71967,0.0001717026
61,1,0.7496,0.73732,0.000171223
62,1,1.0689,0.97835,0.0001707434
63,1,0.5242,0.63818,0.0001702638
64,1,0.7632,0.50474,0.0001697842
65,1,0.7713,0.81477,0.0001693046
66,1,0.7101,0.56481,0.0001688249
67,1,0.8738,0.80291,0.0001683453
68,1,0.983,1.06095,0.0001678657
69,1,0.8935,0.98863,0.0001673861
70,1,0.8538,1.02994,0.0001669065
71,1,1.0347,0.90755,0.0001664269
72,1,1.0374,0.86309,0.0001659472
73,1,1.4827,0.84356,0.0001654676
74,1,1.0918,0.88327,0.000164988
75,1,0.8447,0.95161,0.0001645084
76,1,0.7484,0.89735,0.0001640288
77,1,0.9191,0.79626,0.0001635492
78,1,0.732,0.86169,0.0001630695
79,1,1.1289,1.02066,0.0001625899
80,1,1.2092,0.85585,0.0001621103
81,1,1.1015,0.7355,0.0001616307
82,1,0.8364,0.8387,0.0001611511
83,1,0.9986,0.86824,0.0001606715
84,1,1.129,0.86593,0.0001601918
85,1,0.5859,0.99514,0.0001597122
86,1,0.8394,1.19213,0.0001592326
87,1,0.8899,0.79188,0.000158753
88,1,0.8672,0.82404,0.0001582734
89,1,0.9184,0.81674,0.0001577938
90,1,1.0001,0.74739,0.0001573141
91,1,1.0109,0.88279,0.0001568345
92,1,1.5062,0.90182,0.0001563549
93,1,1.1528,0.89571,0.0001558753
94,1,0.8792,0.81935,0.0001553957
95,1,0.906,1.03448,0.0001549161
96,1,0.8232,0.88455,0.0001544365
97,1,1.0497,0.84185,0.0001539568
98,1,1.1316,1.08601,0.0001534772
99,1,0.5568,0.87809,0.0001529976
100,1,0.8481,1.13159,0.000152518
101,1,0.9697,0.99679,0.0001520384
102,1,0.6413,0.80293,0.0001515588
103,1,0.8286,1.18152,0.0001510791
104,1,1.2692,0.71934,0.0001505995
105,1,1.1363,1.17282,0.0001501199
106,1,0.8278,0.79573,0.0001496403
107,1,0.5043,1.01184,0.0001491607
108,1,0.8,0.72456,0.0001486811
109,1,0.6571,0.78883,0.0001482014
110,1,0.9108,0.67553,0.0001477218
111,1,0.8551,0.80333,0.0001472422
112,1,0.7487,0.9681,0.0001467626
113,1,0.9148,0.90897,0.000146283
114,1,0.8106,0.85034,0.0001458034
115,1,1.1848,0.91706,0.0001453237
116,1,1.0834,1.01499,0.0001448441
117,1,0.7879,0.96345,0.0001443645
118,1,0.8401,0.91619,0.0001438849
119,1,0.9915,1.12617,0.0001434053
120,1,0.4813,0.88083,0.0001429257
121,1,0.6243,0.72436,0.000142446
122,1,0.544,0.7298,0.0001419664
123,1,0.5108,0.91774,0.0001414868
124,1,1.1328,0.82829,0.0001410072
125,1,0.7608,0.86333,0.0001405276
126,1,0.6424,0.99971,0.000140048
127,1,1.0035,1.20307,0.0001395683
128,1,0.9807,0.79346,0.0001390887
129,1,0.5935,1.0814,0.0001386091
130,1,0.5175,0.8781,0.0001381295
131,1,1.0068,1.22086,0.0001376499
132,1,0.6802,0.83995,0.0001371703
133,1,0.9203,1.23221,0.0001366906
134,1,0.7168,0.88395,0.000136211
135,1,1.0821,0.88753,0.0001357314
136,1,1.1486,0.92918,0.0001352518
137,1,0.8955,0.88946,0.0001347722
138,1,0.7004,0.70368,0.0001342926
139,1,0.9647,1.57143,0.0001338129
140,2,0.5625,0.54199,0.0001333333
141,2,1.0896,0.9561,0.0001328537
142,2,0.2232,0.79493,0.0001323741
143,2,0.6805,0.61023,0.0001318945
144,2,0.5263,0.61579,0.0001314149
145,2,0.3332,0.76829,0.0001309353
146,2,0.5345,0.90495,0.0001304556
147,2,0.711,1.23323,0.000129976
148,2,0.4168,0.63116,0.0001294964
149,2,0.365,0.77005,0.0001290168
150,2,0.7672,0.94245,0.0001285372
151,2,1.2419,1.06771,0.0001280576
152,2,0.6171,0.60839,0.0001275779
153,2,0.7417,0.74255,0.0001270983
154,2,0.8776,1.10296,0.0001266187
155,2,0.5232,0.9561,0.0001261391
156,2,0.5224,0.79282,0.0001256595
157,2,0.5565,0.81272,0.0001251799
158,2,0.6401,1.38839,0.0001247002
159,2,0.6655,1.10814,0.0001242206
160,2,0.6755,0.80293,0.000123741
161,2,0.8778,0.98651,0.0001232614
162,2,0.331,0.55268,0.0001227818
163,2,0.3717,0.65681,0.0001223022
164,2,0.3638,0.55612,0.0001218225
165,2,0.5095,0.79554,0.0001213429
166,2,0.3061,0.85322,0.0001208633
167,2,0.3867,0.78809,0.0001203837
168,2,0.5814,0.91119,0.0001199041
169,2,0.8444,0.98166,0.0001194245
170,2,0.6985,0.88861,0.0001189448
171,2,0.5372,0.90947,0.0001184652
172,2,0.6454,1.06505,0.0001179856
173,2,0.6107,1.00245,0.000117506
174,2,0.2528,0.72653,0.0001170264
175,2,0.6772,0.98022,0.0001165468
176,2,0.7626,0.85796,0.0001160671
177,2,0.6357,1.01077,0.0001155875
178,2,0.6784,0.76861,0.0001151079
179,2,0.898,0.90452,0.0001146283
180,2,0.7542,1.2571,0.0001141487
181,2,1.2592,0.94971,0.0001136691
182,2,0.5955,0.85631,0.0001131894
183,2,0.6201,0.75123,0.0001127098
184,2,0.238,0.54378,0.0001122302
185,2,0.6345,0.77226,0.0001117506
186,2,0.5761,0.92929,0.000111271
187,2,0.4694,0.72105,0.0001107914
188,2,0.235,0.73819,0.0001103118
189,2,0.7615,0.86801,0.0001098321
190,2,0.651,1.02258,0.0001093525
191,2,0.7239,0.69965,0.0001088729
192,2,0.4438,0.76485,0.0001083933
193,2,0.3786,0.76698,0.0001079137
194,2,0.4787,0.664,0.0001074341
195,2,0.2769,0.52148,0.0001069544
196,2,1.1335,0.93109,0.0001064748
197,2,0.4378,0.87867,0.0001059952
198,2,0.3356,1.18079,0.0001055156
199,2,0.5457,0.9978,0.000105036
200,2,0.8933,1.05812,0.0001045564
201,2,0.3308,0.95073,0.0001040767
202,2,0.316,0.94947,0.0001035971
203,2,0.4486,1.18893,0.0001031175
204,2,0.5994,0.89019,0.0001026379
205,2,0.7485,1.11709,0.0001021583
206,2,0.2349,0.64034,0.0001016787
207,2,0.329,0.77244,0.000101199
208,2,0.4889,0.75527,0.0001007194
209,2,0.6842,0.83299,0.0001002398
210,2,0.8945,0.98598,9.97602e-05
211,2,0.6578,0.80843,9.92806e-05
212,2,0.2466,0.60852,9.8801e-05
213,2,0.4244,1.37058,9.83213e-05
214,2,0.7268,0.96047,9.78417e-05
215,2,0.4358,0.74187,9.73621e-05
216,2,1.0798,1.05943,9.68825e-05
217,2,0.7006,1.04535,9.64029e-05
218,2,0.8403,0.93296,9.59233e-05
219,2,0.4282,0.68917,9.54436e-05
220,2,0.9902,1.37247,9.4964e-05
221,2,0.7602,1.24175,9.44844e-05
222,2,0.217,0.73234,9.40048e-05
223,2,0.3463,0.84558,9.35252e-05
224,2,0.6322,0.88378,9.30456e-05
225,2,0.6629,1.02066,9.25659e-05
226,2,0.4392,0.6626,9.20863e-05
227,2,1.1246,1.3029,9.16067e-05
228,2,0.8783,1.26636,9.11271e-05
229,2,0.7351,1.59175,9.06475e-05
230,2,0.3395,1.11749,9.01679e-05
231,2,0.8516,0.84658,8.96882e-05
232,2,0.4812,1.20155,8.92086e-05
233,2,0.3955,0.83404,8.8729e-05
234,2,0.7646,0.95699,8.82494e-05
235,2,0.4938,0.76886,8.77698e-05
236,2,0.3716,0.65925,8.72902e-05
237,2,0.5343,1.02126,8.68106e-05
238,2,0.5482,0.89259,8.63309e-05
239,2,0.4662,0.87712,8.58513e-05
240,2,0.5087,0.86158,8.53717e-05
241,2,0.6685,0.90111,8.48921e-05
242,2,0.4887,0.97725,8.44125e-05
243,2,0.3815,0.99554,8.39329e-05
244,2,0.491,0.94306,8.34532e-05
245,2,0.2586,0.88423,8.29736e-05
246,2,1.2743,1.24457,8.2494e-05
247,2,0.6393,0.76792,8.20144e-05
248,2,0.4826,0.96593,8.15348e-05
249,2,0.48,1.21361,8.10552e-05
250,2,0.453,0.67844,8.05755e-05
251,2,0.4572,0.70273,8.00959e-05
252,2,0.6884,0.92218,7.96163e-05
253,2,0.6245,0.93304,7.91367e-05
254,2,0.5966,0.98651,7.86571e-05
255,2,0.1547,0.54696,7.81775e-05
256,2,0.3883,0.59609,7.76978e-05
257,2,0.6365,0.85862,7.72182e-05
258,2,0.3444,0.70232,7.67386e-05
259,2,0.5628,0.81312,7.6259e-05
260,2,0.8821,1.27795,7.57794e-05
261,2,0.2394,0.78659,7.52998e-05
262,2,0.3819,0.87399,7.48201e-05
263,2,0.5049,0.71898,7.43405e-05
264,2,0.4485,0.8457,7.38609e-05
265,2,0.8464,1.15571,7.33813e-05
266,2,0.5978,0.96289,7.29017e-05
267,2,1.0708,1.07294,7.24221e-05
268,2,0.7539,0.83549,7.19424e-05
269,2,0.6648,0.91034,7.14628e-05
270,2,0.6357,0.84502,7.09832e-05
271,2,0.5688,0.84515,7.05036e-05
272,2,0.5396,0.77982,7.0024e-05
273,2,0.7086,0.78245,6.95444e-05
274,2,0.5191,0.73076,6.90647e-05
275,2,0.3187,0.57022,6.85851e-05
276,2,0.5063,0.88348,6.81055e-05
277,2,0.8495,1.25807,6.76259e-05
278,2,0.4211,1.57434,6.71463e-05
279,3,0.5312,0.63292,6.66667e-05
280,3,0.2062,0.45042,6.61871e-05
281,3,0.1615,0.44534,6.57074e-05
282,3,0.3079,0.54591,6.52278e-05
283,3,0.8008,0.90082,6.47482e-05
284,3,0.3476,0.53643,6.42686e-05
285,3,0.3955,0.55088,6.3789e-05
286,3,0.4957,0.90555,6.33094e-05
287,3,0.494,0.9189,6.28297e-05
288,3,0.5662,0.87434,6.23501e-05
289,3,0.5271,1.00966,6.18705e-05
290,3,0.2727,0.64235,6.13909e-05
291,3,0.5857,1.33935,6.09113e-05
292,3,0.4059,1.15712,6.04317e-05
293,3,0.5559,1.56657,5.9952e-05
294,3,0.682,1.39387,5.94724e-05
295,3,0.3308,1.13122,5.89928e-05
296,3,0.2971,0.751,5.85132e-05
297,3,0.4316,1.01016,5.80336e-05
298,3,0.5484,1.1959,5.7554e-05
299,3,0.2073,0.85318,5.70743e-05
300,3,0.3659,0.83264,5.65947e-05
301,3,0.3231,0.8616,5.61151e-05
302,3,0.3662,0.88849,5.56355e-05
303,3,0.1308,0.4902,5.51559e-05
304,3,0.202,0.60302,5.46763e-05
305,3,0.3947,0.98803,5.41966e-05
306,3,0.738,1.32506,5.3717e-05
307,3,0.4489,1.01814,5.32374e-05
308,3,0.2115,0.8034,5.27578e-05
309,3,0.379,0.82378,5.22782e-05
310,3,0.1476,0.58316,5.17986e-05
311,3,0.4918,0.90758,5.13189e-05
312,3,0.2563,0.88888,5.08393e-05
313,3,0.4899,1.06415,5.03597e-05
314,3,0.3639,0.99139,4.98801e-05
315,3,0.3071,0.89264,4.94005e-05
316,3,0.4866,1.32072,4.89209e-05
317,3,0.2008,0.85675,4.84412e-05
318,3,0.2407,0.83313,4.79616e-05
319,3,0.4183,0.99396,4.7482e-05
320,3,0.3736,1.08386,4.70024e-05
321,3,0.3317,0.88023,4.65228e-05
322,3,0.3885,1.18364,4.60432e-05
323,3,0.3078,0.99228,4.55635e-05
324,3,0.265,0.78133,4.50839e-05
325,3,0.3573,1.33541,4.46043e-05
326,3,0.3545,0.85967,4.41247e-05
327,3,0.6914,1.57398,4.36451e-05
328,3,0.7644,1.20218,4.31655e-05
329,3,0.5536,1.30528,4.26859e-05
330,3,0.2137,0.83659,4.22062e-05
331,3,0.588,1.01269,4.17266e-05
332,3,0.2589,0.75885,4.1247e-05
333,3,0.1921,0.67867,4.07674e-05
334,3,0.4442,0.99611,4.02878e-05
335,3,0.1821,0.51578,3.98082e-05
336,3,0.205,0.78615,3.93285e-05
337,3,0.1423,0.61392,3.88489e-05
338,3,0.2487,0.82461,3.83693e-05
339,3,0.6193,1.20981,3.78897e-05
340,3,0.2677,0.74767,3.74101e-05
341,3,0.4673,1.11891,3.69305e-05
342,3,0.3226,0.90987,3.64508e-05
343,3,0.224,0.72215,3.59712e-05
344,3,0.6455,1.43974,3.54916e-05
345,3,0.2264,0.80281,3.5012e-05
346,3,0.3696,0.97614,3.45324e-05
347,3,0.418,1.17118,3.40528e-05
348,3,0.2436,0.77858,3.35731e-05
349,3,0.5282,1.32683,3.30935e-05
350,3,0.2838,0.82373,3.26139e-05
351,3,0.5727,1.23246,3.21343e-05
352,3,0.284,0.96383,3.16547e-05
353,3,0.3797,0.90919,3.11751e-05
354,3,0.3454,0.87563,3.06954e-05
355,3,0.227,0.75627,3.02158e-05
356,3,0.5377,1.13601,2.97362e-05
357,3,0.5794,1.2903,2.92566e-05
358,3,0.3777,1.08433,2.8777e-05
359,3,0.3369,1.0942,2.82974e-05
360,3,0.5999,1.68422,2.78177e-05
361,3,0.5127,1.2641,2.73381e-05
362,3,0.3341,0.94175,2.68585e-05
363,3,0.4554,1.32355,2.63789e-05
364,3,0.4494,1.04763,2.58993e-05
365,3,0.5812,1.37334,2.54197e-05
366,3,0.7499,1.66375,2.494e-05
367,3,0.3092,1.226,2.44604e-05
368,3,0.2816,0.98822,2.39808e-05
369,3,0.5077,0.94176,2.35012e-05
370,3,0.5107,1.10646,2.30216e-05
371,3,0.3293,1.00648,2.2542e-05
372,3,0.206,0.66937,2.20624e-05
373,3,0.584,0.91249,2.15827e-05
374,3,0.3942,1.23494,2.11031e-05
375,3,0.925,1.79674,2.06235e-05
376,3,0.5511,1.0875,2.01439e-05
377,3,0.371,0.88275,1.96643e-05
378,3,0.3489,0.84507,1.91847e-05
379,3,0.5264,1.17252,1.8705e-05
380,3,0.194,0.82048,1.82254e-05
381,3,0.3489,0.84215,1.77458e-05
382,3,0.544,1.39608,1.72662e-05
383,3,0.285,0.98147,1.67866e-05
384,3,0.2723,1.04662,1.6307e-05
385,3,0.2244,1.01678,1.58273e-05
386,3,0.4356,1.03935,1.53477e-05
387,3,0.395,0.71895,1.48681e-05
388,3,0.333,0.98199,1.43885e-05
389,3,0.5684,1.53023,1.39089e-05
390,3,0.5518,1.35899,1.34293e-05
391,3,0.4522,1.30963,1.29496e-05
392,3,0.482,1.3087,1.247e-05
393,3,0.5021,1.06994,1.19904e-05
394,3,0.249,0.98967,1.15108e-05
395,3,0.4007,1.01672,1.10312e-05
396,3,0.4013,1.07142,1.05516e-05
397,3,0.2859,1.34055,1.00719e-05
398,3,0.2949,0.81834,9.5923e-06
399,3,0.3563,1.36629,9.1127e-06
400,3,0.3375,1.01772,8.6331e-06
401,3,0.653,1.44863,8.1535e-06
402,3,0.4808,0.99777,7.6739e-06
403,3,0.1763,0.72919,7.1942e-06
404,3,0.2274,0.7184,6.7146e-06
405,3,0.4848,1.29539,6.235e-06
406,3,0.3017,1.12715,5.7554e-06
407,3,0.1336,0.73281,5.2758e-06
408,3,0.5174,1.48966,4.7962e-06
409,3,0.4128,1.01923,4.3165e-06
410,3,0.229,0.83316,3.8369e-06
411,3,0.3893,1.0548,3.3573e-06
412,3,0.4886,1.4051,2.8777e-06
413,3,0.1568,0.83108,2.3981e-06
414,3,0.3743,1.49222,1.9185e-06
415,3,0.2084,0.79789,1.4388e-06
416,3,0.4855,1.14143,9.592e-07
417,3,0.3102,3.6497,4.796e-07
